Skill Name	Cluster Number
communication	1
organization	1
automation	1
writing	1
python	1
debugging	1
testing	1
creativity	1
sql	1
agile	1
interpersonal	1
planning	1
devops	1
algorithms	1
innovation	1
flexibility	1
problem-solving	1
go	1
presentation	1
microservices	1
docker	1
scripting	1
programming	1
collaboration	1
react	1
javascript	1
containerization	1
networking	1
nosql	1
initiative	1
java	1
hardware	1
teamwork	1
kubernetes	1
c	1
problemsolving	1
leadership	2
pytorch	3
decision-making	3
kafka	3
empathy	3
cybersecurity	3
r	3
negotiation	3
ruby	3
c#	3
resilience	3
swift	3
listening	3
c++	3
spring	3
css	3
hadoop	3
blockchain	3
machine-learning	3
spark	3
typescript	3
ansible	3
virtualization	3
express	3
asp.net	3
html	3
terraform	3
motivation	3
perl	3
node.js	3
adaptability	3
bootstrap	3
php	3
multitasking	3
jenkins	3
angular	3
django	3
tensorflow	3
encryption	3
kotlin	3
bash	3
laravel	3
vue	3
decisionmaking	3
nodejs	3
aspnet	3
critical-thinking	8
software-development	8
time-management	8
dependability	8
machinelearning	8
punctuality	7
flask	7
next.js	7
rust	4
svelte	5
data-mining	12
attention-to-detail	10
keras	6
conflict-resolution	11
nextjs	9
