job_title,skills
 Associate Technical Account Manager,"communication, go, innovation"
 ERP Implementation Specialist (Infor M3),organization
 IAM Solution Architect/SME,"communication, decision-making, interpersonal"
 Informatica Cloud Migration Lead-24-00289,"leadership, r, sql, testing"
" Senior Cloud Delivery Engineer, Cognos","communication, organization, sql"
 Software Engineer - Proprietary languages,"communication, flexibility, react, testing"
 Sr GenAI / Machine Learning Engineer,"algorithms, collaboration, communication, devops, problem-solving, programming"
  Anaplan developer,"flexibility, planning"
(Remote) QA Manager,"automation, innovation, leadership, scripting, testing"
(Remote) Strategic and NAGA Customer Support Specialist,"adaptability, leadership, organization, problem-solving"
(Senior) Consultant (f/m/d) –Microsoft Dynamics 365 CE,
(US) Project Manager - Enterprise,"collaboration, communication, leadership, presentation, problem-solving"
"(US) Sales Support Representative, Pharmacy","collaboration, communication, writing"
(US) Software Implementation Consultant - 12 Month Contract - Acute & Payer,"collaboration, communication, problem-solving"
(US) Software Implementation Consultant - Financial,"collaboration, communication, problem-solving"
(US) Software Implementation Consultant - Level 2 - Financial,"collaboration, communication, problem-solving"
"(US) Software Implementation Consultant, Pharmacy","collaboration, communication, organization, problem-solving"
(US) Solutions Analyst - Clinical - 1 year Contract,"collaboration, leadership"
"(US) Sr. Customer Success Manager, Practice Groups - Value Based Care","collaboration, communication, initiative, leadership, problem-solving"
(US) Sr. Solutions Analyst - TAM Customer Support,"collaboration, communication"
"(US) Sr. Solutions Analyst, Clinical","collaboration, communication"
(only W2) .NET Back End or Full Stack Developer,"asp.net, c#, collaboration, communication, debugging, devops, programming, ruby, sql"
.NET Core / Azure PaaS Senior Distributed Developer,"asp.net, nosql, sql"
.NET Software Engineer in Test (SDET),"agile, automation, c#, collaboration, communication, programming, sql, testing"
.NET System Architect -24-00396,"agile, collaboration, communication, devops, planning"
.Net Architect,"agile, programming, sql"
.Net Developer,"angular, asp.net, bootstrap, communication, problem-solving, sql, writing"
.Net Engineer,"automation, c#, collaboration, problem-solving, sql"
1 Weekend Shift Inbound  Material Handler,communication
1.	QuickBooks Live Expert with Bookkeeping Experience,"communication, flexibility"
100% Remote - Azure Cloud Automation Engineer - $100-120k,"automation, devops"
100% Remote - NetworX Pricer Configuration Analyst,"collaboration, communication, problem-solving"
100% Remote-QNXT Benefits Configuration Analyst,"sql, testing"
1418354 Customer Delivery Technical Leader,interpersonal
1419145 - Database Performance Tuning Analyst,"agile, automation, communication, interpersonal, java, leadership, problem-solving, programming, sql, testing"
1419147 - Database Performance Tuning Analyst,"agile, automation, communication, interpersonal, java, leadership, problem-solving, programming, sql, testing"
1P Lab Tech,"hardware, programming"
1st Shift Inbound Material Handler,communication
2.	Bookkeeping Consultant for Small Businesses,"communication, flexibility"
2024 Computational Imaging Intern,"communication, innovation"
2024 Intern - Software Development Engineer,"communication, express, problem-solving, python"
2024 Intern - Software Engineer,"communication, problem-solving, python"
"2024 Product Manager Intern - Reston, VA","collaboration, communication, empathy, initiative, planning"
2024 SAMI Intern - Adobe Experience Cloud Graph Designer,creativity
2024 Summer Internship - Accounts Receivable,"adaptability, communication, flexibility, leadership, teamwork"
3.	Bookkeeping Expert - Work From Home,"communication, flexibility"
3D Computer Vision Perception Engineer (Remote) – 4319,"algorithms, communication, problem-solving, programming"
"3D Modeler, Freelance",
4.	Work From Home Accountant - Bookkeeping,"communication, flexibility"
5G/ 6G AI/ML Network Research Scientist,"algorithms, collaboration, communication, networking, problem-solving, programming"
A&E Business Development Manager,"communication, leadership"
AEM DEVELOPER,
AI / ML Specialist - Washington DC! Only or USC,
AI Content Writer,"flexibility, writing"
AI Engineer - Deep Learning,"algorithms, collaboration, communication, innovation, problem-solving, programming, pytorch"
AI Prompt Creator,"testing, writing"
AI Senior Implementation Engineer,"algorithms, automation, collaboration, communication, debugging, flexibility, innovation, java, javascript, listening, programming, python, scripting, testing"
AI Software Engineer,"leadership, python"
AI Training for Nuclear Physics,writing
"AI, Intern","algorithms, communication, flexibility, presentation, problem-solving, programming, python"
AI/ML Architect,"debugging, interpersonal, python"
AI/ML Engineer (Contract) (Hybrid) – 4313,"algorithms, communication, problem-solving, programming, r"
"AMZL UTRx Finance Manager, Trans Support","communication, innovation, leadership, organization"
API Architect,"adaptability, communication, containerization, leadership, microservices, problem-solving, programming, virtualization"
API Lead,microservices
APRISO Techno Functional Consultant,"interpersonal, testing"
AS400 Architect/Manager,"communication, programming, sql"
AV Service Technician,
AWS CLOUD SECURITY DEVELOPER,"communication, debugging, nosql, scripting"
AWS Cloud Architect,"automation, devops, kafka, leadership"
AWS Cloud Architect (W2 Only),"automation, devops, kafka, leadership"
AWS Cloud Architect -24-00560,"agile, bash, collaboration, communication, devops, java, planning"
AWS Cloud Engineer,"automation, devops, java, networking, scripting, terraform"
"AWS Cloud IT Project Manager (CLD-0226A) // 100% Onsite // Bethesda, MD","agile, communication, decision-making, initiative, innovation, leadership, planning, presentation, resilience, writing"
AWS DevOps Engineer,"automation, communication, containerization, devops, docker, java, nosql, programming, python"
AWS EMR Developer,"hadoop, java, networking, programming, python"
AWS Engineer,"agile, bash, collaboration, communication, containerization, jenkins, microservices, planning, problem-solving, programming, scripting, testing"
AWS Security Engineer / Hybrid,communication
Accenture Global Alliance Leader,"collaboration, communication, interpersonal, leadership, organization, presentation"
Accessibility Testers,
Account Analyst,"flexibility, programming, python, sql"
Account Development Representative,"communication, innovation"
