industry_name,skills,unique_skills,top_10_skills
Advertising Services,"['collaboration', 'innovation', 'automation', 'resilience', 'javascript', 'javascript', 'javascript', 'css', 'javascript'] ['innovation', 'python', 'c#', 'python', 'sql', 'python', 'python', 'automation', 'agile', 'virtualization', 'containerization'] ['innovation', 'writing', 'devops', 'debugging', 'programming', 'leadership', 'devops', 'python', 'python', 'devops', 'agile', 'flexibility', 'go'] ['agile', 'leadership', 'writing', 'nosql', 'java', 'cybersecurity'] ['innovation', 'agile', 'collaboration', 'go', 'writing', 'sql', 'docker']","'go', 'innovation', 'programming', ['collaboration', 'sql', 'css', 'cybersecurity'] 'resilience', 'docker'] 'agile', ['agile', 'automation', 'nosql', 'javascript', 'java', 'c#', 'virtualization', 'devops', 'javascript'] 'python', 'flexibility', 'collaboration', 'leadership', 'go'] 'writing', 'containerization'] ['innovation', 'debugging',","'go', 'innovation', 'programming', ['collaboration', 'sql', 'css', 'cybersecurity'] 'resilience', 'docker'] 'agile',"
Agricultural Chemical Manufacturing,"['initiative', 'leadership', 'writing', 'agile']","'agile'] 'leadership', ['initiative', 'writing',","'agile'] 'leadership', ['initiative', 'writing',"
Airlines and Aviation,"['organization', 'programming', 'debugging', 'programming', 'programming', 'problem-solving', 'teamwork'] ['writing', 'c++', 'hardware', 'hardware', 'hardware', 'hardware', 'c++', 'communication', 'python']","['writing', 'hardware', 'programming', ['organization', 'teamwork'] 'c++', 'python'] 'problem-solving', 'communication', 'debugging',","['writing', 'hardware', 'programming', ['organization', 'teamwork'] 'c++', 'python'] 'problem-solving', 'communication', 'debugging',"
"Appliances, Electrical, and Electronics Manufacturing","['innovation', 'communication'] ['organization', 'interpersonal', 'communication', 'leadership'] ['innovation', 'algorithms', 'decision-making', 'innovation', 'agile', 'collaboration'] ['flexibility', 'testing', 'debugging', 'communication', 'interpersonal', 'communication'] ['hardware', 'testing', 'scripting', 'leadership', 'testing'] ['algorithms', 'hardware'] ['innovation', 'agile', 'microservices', 'java'] ['algorithms', 'planning', 'programming', 'c#', 'java', 'networking', 'scripting', 'communication', 'agile'] ['flexibility', 'c++', 'hardware'] [] ['organization', 'organization', 'agile']","'innovation', 'programming', 'organization', 'communication'] ['hardware', 'planning', 'agile', 'interpersonal', 'testing', 'microservices', 'algorithms', 'decision-making', 'java', ['flexibility', [] 'c#', 'hardware'] 'testing'] 'java'] ['organization', 'leadership'] 'scripting', 'collaboration'] 'communication', 'leadership', 'networking', 'agile'] 'c++', ['innovation', 'debugging', ['algorithms',","'innovation', 'programming', 'organization', 'communication'] ['hardware', 'planning', 'agile', 'interpersonal', 'testing', 'microservices',"
Automation Machinery Manufacturing,"['python', 'automation', 'programming', 'sql', 'sql', 'automation'] ['testing', 'testing', 'bash', 'writing', 'jenkins', 'docker', 'writing']","'testing', 'automation', 'writing', 'programming', ['testing', 'docker', 'writing'] 'jenkins', 'bash', ['python', 'sql', 'automation']","'testing', 'automation', 'writing', 'programming', ['testing', 'docker', 'writing'] 'jenkins', 'bash', ['python',"
Automotive,"['testing', 'typescript', 'communication', 'c++', 'innovation'] ['testing', 'typescript', 'communication', 'c++', 'innovation']","'c++', ['testing', 'typescript', 'communication', 'innovation']","'c++', ['testing', 'typescript', 'communication', 'innovation']"
Aviation and Aerospace Component Manufacturing,"['java', 'writing', 'interpersonal', 'communication', 'agile'] ['networking', 'networking', 'agile', 'c++', 'agile', 'agile', 'communication'] ['networking', 'networking', 'agile', 'c++', 'networking', 'communication', 'debugging', 'agile', 'agile', 'communication'] ['hardware', 'python', 'typescript', 'javascript', 'python', 'kubernetes'] ['hardware', 'devops', 'testing', 'testing', 'c++', 'bash', 'scripting', 'agile', 'communication'] ['planning', 'hardware', 'communication', 'communication', 'planning'] ['communication', 'containerization', 'communication', 'communication']","['networking', 'hardware', 'communication'] ['hardware', 'planning'] 'agile', 'interpersonal', 'testing', ['planning', 'javascript', 'devops', ['communication', 'c++', 'bash', ['java', 'scripting', 'python', 'communication', 'networking', 'kubernetes'] 'writing', 'containerization', 'agile'] 'typescript', 'debugging',","['networking', 'hardware', 'communication'] ['hardware', 'planning'] 'agile', 'interpersonal', 'testing', ['planning', 'javascript',"
Banking,"['agile', 'testing', 'agile', 'agile', 'agile'] ['flexibility', 'agile', 'devops', 'writing', 'collaboration', 'agile', 'devops', 'problem-solving'] ['microservices', 'automation']","['agile', 'testing', 'devops', 'collaboration', 'writing', 'agile'] 'problem-solving'] ['microservices', 'automation'] ['flexibility', 'agile',","['agile', 'testing', 'devops', 'collaboration', 'writing', 'agile'] 'problem-solving'] ['microservices', 'automation'] ['flexibility',"
Biotechnology,"['innovation', 'innovation', 'collaboration', 'communication']","['innovation', 'communication'] 'collaboration', 'innovation',","['innovation', 'communication'] 'collaboration', 'innovation',"
Biotechnology Research,"['innovation', 'hardware', 'programming', 'collaboration', 'problem-solving', 'agile', 'c++', 'c#', 'programming'] ['initiative', 'organization', 'leadership', 'programming', 'scripting', 'python', 'docker', 'agile', 'hardware', 'testing']","'leadership', 'c#', 'hardware', 'programming', 'organization', 'docker', 'agile', ['initiative', 'testing'] 'programming'] 'scripting', 'python', 'c++', ['innovation', 'problem-solving', 'collaboration',","'leadership', 'c#', 'hardware', 'programming', 'organization', 'docker', 'agile', ['initiative', 'testing'] 'programming']"
Book and Periodical Publishing,"['organization', 'organization', 'adaptability', 'containerization', 'testing', 'testing', 'terraform']","'testing', 'organization', 'containerization', ['organization', 'terraform'] 'adaptability',","'testing', 'organization', 'containerization', ['organization', 'terraform'] 'adaptability',"
Broadcast Media Production and Distribution,"['innovation', 'programming'] ['programming', 'problem-solving', 'communication', 'collaboration']","'programming'] ['programming', ['innovation', 'problem-solving', 'communication', 'collaboration']","'programming'] ['programming', ['innovation', 'problem-solving', 'communication', 'collaboration']"
Business Consulting and Services,"['java', 'innovation'] ['c++', 'programming', 'c++', 'communication', 'interpersonal', 'c++', 'c++', 'innovation'] ['hardware', 'programming', 'organization', 'debugging', 'communication', 'innovation'] ['c++', 'agile', 'innovation'] ['testing', 'innovation'] ['hardware', 'automation', 'testing', 'python', 'programming'] ['networking', 'testing', 'testing', 'innovation'] ['networking', 'debugging', 'rust', 'hardware', 'c++', 'innovation'] ['communication', 'testing', 'testing', 'writing', 'automation', 'innovation'] ['agile', 'collaboration', 'leadership', 'hardware'] ['writing', 'testing', 'writing', 'programming', 'writing', 'devops', 'innovation'] ['python', 'testing', 'c++', 'communication', 'python', 'testing', 'innovation']","['networking', 'hardware', 'programming', 'organization', ['hardware', 'agile', ['agile', 'interpersonal', 'testing', 'automation', ['writing', 'rust', 'devops', ['communication', 'hardware'] ['python', ['java', ['c++', 'python', 'communication', 'collaboration', 'innovation'] 'leadership', 'writing', ['testing', 'programming'] 'c++', 'debugging',","['networking', 'hardware', 'programming', 'organization', ['hardware', 'agile', ['agile', 'interpersonal', 'testing', 'automation',"
Chemical Manufacturing,"['organization', 'testing', 'programming', 'problem-solving', 'communication', 'interpersonal', 'organization', 'initiative']","'testing', 'interpersonal', 'programming', 'organization', 'initiative'] ['organization', 'problem-solving', 'communication',","'testing', 'interpersonal', 'programming', 'organization', 'initiative'] ['organization', 'problem-solving', 'communication',"
Civil Engineering,"['java', 'agile', 'docker', 'java', 'programming', 'c++']","'docker', 'programming', ['java', 'java', 'c++'] 'agile',","'docker', 'programming', ['java', 'java', 'c++'] 'agile',"
Computer Games,"['planning', 'programming', 'communication', 'networking'] ['sql', 'c#', 'networking', 'networking', 'agile'] ['sql', 'c#', 'networking', 'networking', 'agile'] ['sql', 'c#', 'networking', 'networking', 'agile'] ['testing', 'programming', 'problem-solving', 'blockchain', 'programming']","'networking', 'c#', 'programming', ['testing', ['planning', 'agile'] 'programming'] 'networking'] ['sql', 'problem-solving', 'communication', 'blockchain',","'networking', 'c#', 'programming', ['testing', ['planning', 'agile'] 'programming'] 'networking'] ['sql', 'problem-solving',"
Computer Hardware Manufacturing,"['problem-solving'] ['hardware', 'communication', 'teamwork', 'rust']","['problem-solving'] 'rust'] ['hardware', 'teamwork', 'communication',","['problem-solving'] 'rust'] ['hardware', 'teamwork', 'communication',"
Computer Networking,"['networking', 'automation', 'testing', 'testing', 'leadership', 'planning', 'automation', 'python', 'programming', 'organization']","'testing', 'leadership', ['networking', 'automation', 'programming', 'planning', 'python', 'organization']","'testing', 'leadership', ['networking', 'automation', 'programming', 'planning', 'python', 'organization']"
Computer Networking Products,"['networking', 'networking', 'programming', 'testing', 'networking', 'kubernetes', 'networking', 'networking', 'networking', 'debugging']","'networking', 'testing', ['networking', 'programming', 'kubernetes', 'debugging']","'networking', 'testing', ['networking', 'programming', 'kubernetes', 'debugging']"
Computer and Network Security,"['networking', 'programming', 'networking', 'networking'] ['testing', 'testing', 'agile', 'communication'] ['innovation', 'cybersecurity', 'flexibility', 'kubernetes', 'algorithms', 'communication', 'programming', 'go', 'node.js', 'testing', 'communication', 'innovation', 'collaboration', 'innovation'] ['algorithms', 'innovation', 'communication', 'python', 'nosql'] ['cybersecurity', 'cybersecurity', 'leadership', 'collaboration', 'devops', 'leadership', 'programming', 'python', 'kubernetes'] ['algorithms', 'innovation', 'communication', 'python', 'nosql'] [] ['cybersecurity', 'cybersecurity', 'flexibility', 'collaboration', 'flexibility', 'innovation', 'collaboration', 'teamwork', 'devops', 'programming', 'collaboration', 'communication', 'cybersecurity', 'cybersecurity'] ['cybersecurity', 'cybersecurity', 'flexibility', 'collaboration', 'flexibility', 'innovation', 'java', 'angular', 'nosql', 'testing'] ['cybersecurity', 'organization', 'python', 'ruby', 'testing', 'programming'] ['cybersecurity', 'cybersecurity', 'collaboration', 'python', 'problem-solving', 'leadership', 'collaboration', 'communication'] ['cybersecurity', 'cybersecurity', 'flexibility', 'collaboration', 'flexibility', 'innovation', 'cybersecurity', 'programming', 'cybersecurity', 'cybersecurity'] ['cybersecurity', 'cybersecurity', 'flexibility', 'collaboration', 'flexibility', 'innovation', 'cybersecurity', 'programming', 'cybersecurity', 'cybersecurity'] ['cybersecurity', 'cybersecurity', 'flexibility', 'collaboration', 'flexibility', 'innovation', 'cybersecurity', 'programming', 'cybersecurity', 'cybersecurity'] ['innovation', 'cybersecurity', 'flexibility', 'collaboration', 'testing', 'java', 'react', 'innovation', 'collaboration', 'innovation'] ['innovation', 'cybersecurity', 'flexibility', 'python', 'innovation', 'collaboration', 'innovation'] ['testing', 'javascript', 'react', 'css', 'writing', 'networking', 'networking'] ['cybersecurity', 'cybersecurity', 'flexibility', 'collaboration', 'flexibility', 'innovation', 'cybersecurity', 'cybersecurity', 'cybersecurity', 'java'] ['testing', 'leadership', 'collaboration', 'programming', 'networking', 'agile'] ['cybersecurity', 'php', 'agile', 'laravel', 'php', 'php', 'programming', 'laravel', 'php', 'writing', 'agile']","['networking', 'go', 'programming', 'innovation', 'organization', 'communication'] 'kubernetes', 'nosql'] 'css', 'cybersecurity'] 'cybersecurity', 'agile', 'testing', 'nosql', 'algorithms', 'ruby', ['cybersecurity', 'javascript', 'java', [] 'php', 'laravel', 'devops', 'angular', 'testing'] 'java'] 'python', 'react', 'flexibility', 'communication', 'collaboration', 'innovation'] 'networking', 'leadership', 'kubernetes'] 'writing', ['testing', 'node.js', 'teamwork', 'agile'] 'programming'] 'networking'] ['innovation', 'problem-solving', ['algorithms',","['networking', 'go', 'programming', 'innovation', 'organization', 'communication'] 'kubernetes', 'nosql'] 'css', 'cybersecurity']"
Consumer Electronics,"['communication', 'sql', 'programming', 'communication', 'php', 'problem-solving'] ['devops', 'devops', 'testing', 'python', 'scripting', 'jenkins', 'automation', 'virtualization', 'automation', 'ansible', 'c++']","'testing', 'devops', 'automation', 'virtualization', ['communication', 'programming', ['devops', 'jenkins', 'sql', 'problem-solving'] 'scripting', 'python', 'ansible', 'c++'] 'communication', 'php',","'testing', 'devops', 'automation', 'virtualization', ['communication', 'programming', ['devops', 'jenkins', 'sql', 'problem-solving']"
Consumer Services,"['c#', 'testing', 'flexibility'] ['communication', 'planning', 'algorithms', 'go'] ['python', 'ruby', 'innovation'] ['react', 'react', 'node.js', 'javascript', 'css', 'html', 'flexibility'] ['collaboration', 'innovation', 'flexibility', 'node.js', 'php', 'sql', 'agile', 'microservices', 'empathy'] ['testing', 'node.js', 'communication', 'empathy', 'communication']","'html', 'innovation', 'communication'] ['collaboration', 'sql', 'planning', 'css', 'agile', 'testing', 'microservices', 'algorithms', ['c#', 'ruby', 'javascript', 'empathy', ['react', 'php', ['communication', 'flexibility'] ['python', 'flexibility', 'communication', 'innovation'] 'go'] ['testing', 'node.js', 'empathy'] 'react',","'html', 'innovation', 'communication'] ['collaboration', 'sql', 'planning', 'css', 'agile', 'testing', 'microservices',"
Data Infrastructure and Analytics,"['blockchain', 'java', 'typescript', 'python']","'python'] 'java', 'typescript', ['blockchain',","'python'] 'java', 'typescript', ['blockchain',"
Defense & Space,"['hardware', 'testing', 'hardware']","'testing', ['hardware', 'hardware']","'testing', ['hardware', 'hardware']"
