industry_name,job_id,title,skills
Software Development,3884432470,Windows Software Engineer,"c#, c#, communication"
IT Services and IT Consulting,3800272386,Data Science Software Engineer,"innovation, collaboration, agile, communication, microservices, algorithms, sql, programming"
"Technology, Information and Media",3887472904,Software Engineer -(Development of cloud-based services & Apps)-W2 Contract,"writing, writing, problem-solving"
IT Services and IT Consulting,3827945924,Software Engineer,"communication, sql, initiative, c#"
IT Services and IT Consulting,3884915616,Senior Software Engineer - Full Stack,"communication, problem-solving, networking"
Software Development,3887475434,Principal Software Engineer (Python),
Financial Services,3884924051,Software Engineering Advisor (Python/Java/AWS),"flexibility, planning, automation, communication, presentation, problem-solving, organization, networking"
Medical Equipment Manufacturing,3884437436,Senior Software Engineer,"organization, testing, organization, c++, css, jenkins, devops, problem-solving, leadership, react, angular, automation, sql, microservices"
Software Development,3884440937,Senior Software Engineer Insurance Platform,"leadership, innovation, react, javascript, testing, react, testing, testing, innovation"
Banking,3884444422,Sr. Software Engineer/API Developer,"agile, testing, agile, agile, agile"
Higher Education,3887497535,Associate Software Engineer/Software Engineer-AITS,"leadership, testing, sql, testing, sql, html, scripting, writing, java, java, interpersonal, sql, interpersonal"
"Technology, Information and Media",3887716431,Senior Staff Software Engineer,"automation, python, testing, python, django, nosql, problem-solving, communication"
Software Development,3884439345,"Software Engineer for global computer software company in Redmond, WA.","automation, automation, automation, automation, automation, problem-solving, communication, containerization, docker, devops"
Software Development,3884996017,"Software Engineer, Translation Services","programming, programming"
Financial Services,3885806697,"Senior Lead Software Engineer, Full Stack","programming, nosql, docker, go, agile"
IT Services and IT Consulting,3884437640,Software Engineer,"automation, automation, automation, devops, creativity"
Hospitals and Health Care,3884804043,Sr. Software Engineer - (Full Stack),"testing, nosql, java, react"
Engineering Services,3884437721,Display Software Engineer (16939),"hardware, programming, python, hardware, communication, hardware, debugging"
Financial Services,3885807498,"Senior Software Engineer, Back End (GoLang)","kafka, agile, programming, nosql, docker, node.js, agile"
Financial Services,3885805688,"Lead Software Engineer, Full Stack","programming, nosql, docker, go, agile"
Financial Services,3885807502,"Lead Software Engineer, Full Stack","programming, nosql, docker, go, agile"
Financial Services,3885808496,"Lead Software Engineer, Back End","programming, nosql, docker, node.js, agile"
Financial Services,3885809468,"Senior Lead Software Engineer, Full Stack (Remote -Eligible)","leadership, programming, nosql, docker, sql, python, agile, communication"
Financial Services,3885809473,"Senior Manager, Software Engineering , Back End","programming, nosql, docker, node.js, agile"
Financial Services,3885806690,"Senior Manager, Software Engineering , Back End","programming, nosql, docker, node.js, agile"
Financial Services,3885807496,"Senior Lead Software Engineer, Full Stack (Remote -Eligible)","leadership, programming, nosql, docker, sql, python, agile, communication"
Automation Machinery Manufacturing,3887704152,Software Engineer,"python, automation, programming, sql, sql, automation"
Financial Services,3885808501,"Senior Manager, Software Engineering , Back End","programming, nosql, docker, node.js, agile"
Financial Services,3887704948,Tech Lead\/Software Engineer III - Job ID: 552,"testing, agile, microservices, python, nosql, agile, agile, communication, interpersonal, problem-solving, motivation"
IT Services and IT Consulting,3884430666,Software Engineer with Vue JS.,"c#, vue"
Financial Services,3885805682,"Manager, Software Engineering, Back End","programming, nosql, docker, node.js, agile"
"Appliances, Electrical, and Electronics Manufacturing",3885815073,Software Engineer I - C++/Avionics,"innovation, communication"
IT Services and IT Consulting,3884821376,Senior Software Engineer,"organization, innovation, communication, java, automation, agile, programming, spring, spring, react, testing, devops, automation, scripting, agile, programming, html, css"
Financial Services,3885806686,"Senior Lead Software Engineer, Full Stack","programming, nosql, docker, go, agile"
Software Development,3884816373,Senior Software Engineer,"agile, innovation, writing, testing, c#, nosql, testing, agile"
"Technology, Information and Internet",3884818241,Senior Software Engineer,"collaboration, planning, sql, java, docker, testing"
Financial Services,3885807503,"Lead Software Engineer, Back End","programming, nosql, docker, node.js, agile"
Facilities Services,3884810490,Robotics Software Engineer - Perception,"algorithms, testing, algorithms"
IT Services and IT Consulting,3887871221,Software Engineer - Senior,"agile, leadership, communication, programming, agile, agile, java, spring, programming, testing"
Software Development,3887873241,"Software Engineer, Full Stack - Product","typescript, react, communication, collaboration"
Insurance,3884823769,Remote - Software Engineer - OIPA Configurator,"communication, java, kubernetes, containerization, interpersonal, communication, interpersonal, initiative"
Financial Services,3885810351,Senior Software Engineer,"agile, programming, kafka, docker, agile"
Financial Services,3885811233,"Lead Software Engineer, Backend (Java, Go)","programming, nosql, docker, node.js, agile"
"Appliances, Electrical, and Electronics Manufacturing",3885813358,Advanced Software Engineer,"organization, interpersonal, communication, leadership"
Software Development,3887713771,"Director, Software Engineering","collaboration, organization, innovation, collaboration, leadership, agile, interpersonal, devops, automation, collaboration"
