industry_id_x,industry_name,job_id,company_name,description,skills_desc,zip_code,skills,industry_id_y,title,filtered_skills,state,lat,long
1,Defense and Space Manufacturing,3895257177,JAM Staffing,"A leading designer of software defined radios is looking for a number of Software Engineers to join their talented team of engineers. Whilst they’d ideally like somebody based in Austin for hybrid working, they would happily consider the right person on a fully remote basis. 
As a Software Engineer in this business you’ll be a working in a cross-disciplinary agile team that builds cutting edge software radio systems and will design, implement and test embedded software and firmware. In addition, you’ll share your achievements with others, participate in code reviews whilst both learning from and sharing with your colleagues. Your creative insights will enhance their SDR capabilities and allow you to craft flexible software that will have a direct impact on the company’s success. 
To succeed in the role of Software Engineer you’ll need to have 2+ years of embedded software development experience (C or C++) along with some microcontroller / ARM programming and embedded firmware experience. A passion for radio (such as being a licensed amateur radio operator) would certainly be a bonus. 
In return for your experience you’ll receive a truly competitive salary and benefits package – please get in touch for further details on this. The company is also committed to training and development of their employees. 
If you’re interested in being considered for this role please send me your resume via the “Apply” button.",,78701.0,"['agile', 'programming']",4,Embedded Software Engineer,agile algorithms automation bash collaboration communication debugging hardware networking problem-solving programming scripting,TX,30.2713,-97.7426
3,Computer Hardware Manufacturing,3887580083,HP,"Job Summary

Responsible for Solution/Services Adopt, Expand, and Renewal. Client Management including Annual Recurring Revenue/Profit Management, Growth, On-going value and outcomes management with high customer health, low churn rate and high renewal rate. Responsible for managing overall service quality and customer relationship management resources, including manpower, internal assets and external vendors.

Key Responsibilities

Partner with the Transition Team to drive success through initial onboarding, adoption and find value added to the customer.Performing a Strategic Account Planning and identifying, forecasting and mitigating risksUnderstand HP Products, their features, functions and solutions and understand how they can be used to solve problems and create solutions for your customersP&L Management: Secure the revenue and margin as well as the contract commitments, identify and nurture expansion opportunities (Up-sell and Cross-sell), improve tools tools and processes for faster turn-around Track customer KPI's (SoW, Up-Sell / Cross-Sell…) and adoption to proactively work with customers on expansion, churn prevention and renewals.Maximize renewal rates by partnering with Pursuit to lead the contract renewal process with a focus on value-based outcome of HP products and solutions.Knowledge of outcome-based Sales model.Consult with client stakeholders to understand their business strategies and goals, as well as their objectives, to align with HP solutions and deliver against the agreed success criteria.Become a trusted advisor to customer stakeholders at C-levelLead regular strategic business reviews to communicate progress against agreed success plans, address and mitigate risks and present innovation solutions.

Knowledge & Skills

Identifying and addressing customer business needs and issues in the technology space.Experience in Proactive Account Management and service delivery.Demonstrated Account Management using Consultative selling or issue resolution skills.Strategic and long-term account planning skills.At least 2 Certification in IT environment management (ITIL, COBIT, TOGAF, Lean IT, or similar industry stand certification).Expertise in both content and application of typical technology services portfolios to address customer needs.Ability to identify and effectively address customer business needs beyond the scope of their specific role.Proficient in MS Dynamics systems, tools and processes or equivalent.

Scope And Impact

Multiple Accounts or very large single accounts – local/global.Responsible for Supporting Pre-Sales, Drive Adoption, Increase Utilization.P&L Management, Up-sell and Cross-sell PAN HP Offerings, Manage Customer Health, Supports Renewals.

Complexity

Multi Country client management in the same region, Medium complexity of Customer portfolio in the industry, Customers are typically multi-million dollar companies.High complex portfolio of solutions.

Education And Experience

Bachelor's degree [BA or BS] or equivalent.MBA or Equivalent Preferred.10-12 years’ experience in account leadership roles such as Sales, Pursuit and Delivery or Business Management or 2 to 3 years’ experience in Customer Success Role.Experience working in a matrixed environment.Experience working in an IT industry and a vertical industry preferred.P&L, Sales and Business Management required.

",,20001.0,"['planning', 'innovation', 'planning', 'leadership']",4,Customer Success Manager,agile collaboration communication creativity empathy flexibility go innovation interpersonal leadership listening organization planning presentation problem-solving programming python scripting testing,DC,38.9122,-77.0177
3,Computer Hardware Manufacturing,3904395285,Cisco,"At Cisco, we know that technology can connect us, empower us, and drive us. And words—whether they’re in a blog, a podcast, a web page, or an e-book—hold the power to educate and inspire.

Cisco Customer Solutions Marketing (CSM) is looking for a Content Marketing Manager to help build and enhance thought leadership and communicate important innovations through compelling and engaging content! We need an extraordinary communicator, writer, and podcast producer who can systematically turn ideas into effective marketing assets and succinctly communicate what matters most to key audiences.

You should thrive in a fast-paced environment and nurture a collaborative and agile approach. Working cross-functionally with teams of subject matter, design, and go-to-market experts, you will be responsible for the development and review of high-value content and the continuous optimization of editorial processes, as well as helping to prioritize content and maintain consistency. You should also be deadline-driven, and results-oriented, with an eye towards optimizing content for engagement and conversion!

What You'll Do

Collaborate with subject matter experts, such as product marketers, solutions marketers, integrated marketers, and audience marketers, as well as designers, to produce high-quality contentManage a multi-blog editorial calendar, ensuring not only consistent calendaring and execution but also alignment to overall editorial strategyOwn the day-to-day editorial for the blogs, including managing the intake of ad hoc blog requests, shepherding content through the review process, and providing editorial feedback to ensure clarity and alignment with voice and toneFill the producer role for the Cisco Meraki podcast, including ideating with hosts on episode topics, coordinating logistics, and driving the podcast calendar in alignment with the overall marketing strategy and plansUse project management software as part of the content creation, editing, and delivery process and leverage strong project management skills to continuously improve the blog and podcast processes including updating Asana processes and templates as well as content briefs and authoring documents. Support the team by writing/editing long-form content assets, as needed by the teamActively cultivate an always-learning mindset, with a curiosity and eagerness to learn about our technology and its benefits

Who You Are

5 years proven experience in content marketing in the high-tech industry, with a strong portfolio Significant experience shepherding content through a pipeline that includes multiple sets of stakeholders, with the ability to drive the completion of projects according to SLAsStrong writing and editing skills Outstanding interpersonal skills and a consistent track record of problem-solving and working collaboratively across teamsAbility to balance and prioritize multiple projects and to adjust to shifts in timelines, deadlines, budgets, and project goals

Nice To Have

Previous experience with podcast production Exposure to Asana SEO background Experience working in an Agile environment",,95101.0,"['leadership', 'agile', 'writing', 'interpersonal', 'problem-solving', 'agile']",4,Content Marketing Manager,agile communication initiative interpersonal leadership planning problem-solving writing,CA,37.3894,-121.8868
3,Computer Hardware Manufacturing,3905240435,"Softworld, a Kelly Company","Job Title: Senior Network Engineer

Location: Fenton MO 63026 Hybrid 2-3 days Onsite

Onsite Requirements:CiscoAny cloud experience.Any scripting experience.Job Description:This role supports the mission to Share Christ - Love People by protecting our critical systems, networks, assets, build solutions, implement new software and hardware, provide training, and assist in developing the overall Information Technology strategy. We continue to create and innovate new ways to promote unchanging truth of the Gospel of Jesus Christ. We help those who are hurting in practical ways that make a difference. The ministry has 5 Core Values. They are Love, Faith, Unity, Excellence, and Integrity. Client believes that you and your family are important. We believe that when you know you are valued, you help to make client a better place to work and ensure a positive environment that supports the mission to Share Christ | Love People.Responsibilities:Installs, configure, and manage network infrastructure devices (switches, routers, firewalls)Manage Checkpoint firewalls security policies and VPN.Manage Cisco Nexus 9396 Datacenter switches and Cisco Nexus Fabric ExtendersSupport Site to Site VPN services.Serve as lead technical troubleshooter on complex server hardware, networking and application issues.Support central and branch infrastructure performance and availability (servers, networks, firewalls etc.)Serve as a resource to assist other infrastructure team members in troubleshooting and resolving issues.Perform infrastructure maintenance.Provide support for Ministry projects requiring infrastructure assistance.Provide guidance on technical aspects of work for the successful completion of a project.Research and recommend solutions related to project scope.Complete project deliverables on timeCommunicate status and blockers to team lead and manager.Maintains and ensures network performance by monitoring, analysis, and performance tuning.Troubleshoot network problems.Escalate problems and ensure quality of service.Maintain system security and access control.Document enterprise server topology, system configurations, and network architecture.Contribute to the vision and direction for tactical and strategic server and network architecture planning. Mentor junior admins and train. Qualifications:5 years network administration experience Strong understanding of network infrastructure to include network design, configuration and troubleshooting.Checkpoint/Cisco ASA firewall technologies to include configuration and policy/rule base creation.Cisco Meraki Switches, wireless access points and routers Experience managing a high available datacenter. Experience managing geographically dispersed system implementations. Experience with IaaS, SaaS, and PaaS environments. Experience with enterprise firewalls and switches. Hands-on experience designing, deploying, and maintaining a Windows server environment and Network InfrastructureExperience with Microsoft 365Microsoft Enterprise Mobility & SecurityCloud Services (Azure, Amazon Web Services, etc.)Hyper-V/Virtual Machine SoftwarePowerShell Managing public web servers running Internet Information ServiceEnd user communication and rollout planning and development. Strong understanding of network infrastructure to include Network design, Configuration, and troubleshooting.Cisco/Meraki/Checkpoint experience, a plusCisco Adaptive Security Appliance experience a plus Time management skills and ability to prioritize assigned work.Ability to problem solve and escalate issues and blockers to team lead and manager.Ability to communicate and problem solve with other technical staff as well as non-technical users.Education: 
 Bachelor's degree in engineering, Computer Science, Computer Management Information Systems or related field preferredCisco Certified Network Associate, Microsoft Certified Systems Engineer, Network and Azure certifications, a plusWe've got you covered with perks: 
 Mission-driven job that also pays.Medical Plan with no out-of-pocket premiumsGenerous HSA contributionsFree DentalFree long-term disability and life insuranceWholistic Wellness ProgramEmployee Assistance Program for you and your family403(b) generous matchingDiscount on ministry resources. Options to work from home with a hybrid work environmentPaid time off Professional DevelopmentTuition Reimbursement",,63026.0,"['scripting', 'networking', 'communication', 'planning']",4,Network Engineer,communication networking planning scripting,MO,38.5015,-90.4683
3,Computer Hardware Manufacturing,3902302123,DDN Storage,"DataDirect Networks Inc. (DDN) engineering organization is seeking a highly focused, self-motivated, innovative, and goal-oriented engineer to fill the role of Systems Test Engineer based onsite in our Columbia, MD office. The primary role is system level testing of DDN storage with File Systems and Networking as well as manage complex customer issues escalated from Technical Support group. The prospective candidate must have strong technical skills in systems testing including test case development, test set management and proven problem-solving skills. This role will involve recreating and resolving product issues on a day-to-day basis. This is a multifaceted role that require collaboration with other team members, developers, technical support personnel as well as with other product teams who are spread around the globe.

The prospective candidate must have good analytical, development and debugging abilities. The skills in terms of system knowledge are crucial for this role.

As a Systems Test Engineer, the primary focus will be to support Continuation Engineering’s development activities, triaging customer escalations, identify areas where the testing is inadequate or inappropriate.
Responsibilities include but are not limited to:Triage customer escalations, defect tracking and bug fixes.Take ownership of customer cases, validate technical aspects, and drive it to resolution with root cause and necessary modifications to the product.Analyzing hardware/equipment issues and troubleshoot.Create, modify, automate & execute specific test cases based on the customer escalations.Develop, automate & execute system and software test cases based on the QA process for the periodic maintenance of the releases to ensure delivery of quality code.Review the product test plan and help in identifying test gaps and fix them.Understand customer requirements and work towards enhancing the product quality and customer experience by improving reliability, serviceability & usability.Review and provide necessary feedback to the documentation team for software/firmware releases.
Requirements/Qualifications: 1+ years of experience in system and software test methodologies, QA processes and software release management.Experience in software testing (manual as well as automation) and product support.Familiar with functional and structural testing techniques.Good scripting skills with hands-on experience with Python. Knowledge and experience with Perl & Shell is also highly desirable.Essential to be able to work on Linux based systems and tools.Very good knowledge of computer networking is essential. Knowledge of Infiniband, Fibre channel and Omnipath technologies will be a plus.Knowledge of storage industry, cloud storage, cloud computing, data center operations is desirable.Knowledge of large-scale file systems like GPFS, Lustre is a major plus.Knowledge of software programming using C is a plus.A Bachelor's degree in Computer/Electronics/Instrumentation Engineering or Computer Science or equivalent experience(Required).


Salary Range: $58,000 - $75,000",,21044.0,"['organization', 'testing', 'networking', 'testing', 'problem-solving', 'collaboration', 'debugging', 'testing', 'testing', 'testing', 'scripting', 'perl', 'networking', 'programming']",4,Test Engineer,collaboration debugging flexibility go hardware initiative motivation networking organization perl problem-solving programming python scripting testing writing,MD,39.2141,-76.8788
3,Computer Hardware Manufacturing,3906261027,Cisco,"Why you'll love Cisco

We change the World, you will become passionate about your employer and the brand you represent. Everything is converging on the Internet, making networked connections more meaningful than ever before in our lives. Our employees' groundbreaking ideas impact everything. Here, that means we take creative ideas from the drawing board to dynamic solutions that have real world impact. You'll collaborate with Cisco leaders, partner with mentors, and develop incredible relationships with colleagues who share your interest in connecting the unconnected. You'll be part a team that cares about its customers, enjoys having fun, and you'll take part in changing the lives of those in our local communities. Come prepared to be encouraged and inspired.

What You'll Do

You will partner with our Account Executives in a pre-sales technical role, showcasing Cisco product solutions-setting up demonstrations and explaining features and benefits to customers-and designing and configuring products to meet specific customer needs.

 You will gain access to the palette of Cisco technologies and applications in a variety of vertical markets.  You will collaborate with the Account Manager to recommend and develop customer solution offerings.  You will provide an architectural perspective across the Cisco product portfolio and can use your technical specialization for specific opportunities.  You will act in an increasingly consultative fashion and looked to as a guide, or trusted technical adviser, in your field by the account team and customers.  You will keep up-to-date on relevant competitors solutions, products and services.  You will assist with the development of formal sales plans and proposals for assigned opportunities.  You will actively participate as a specialist on assigned Virtual Team and provide consultative support in their area of specialization to other Systems Engineers. 

Who You'll Work With

You will work with a team of Systems Engineers who partner with Account Managers. We work with partners and customers to ensure the best possible solution. We have been in roles from 2 years to 16 years and support and empower each other. We have a wide range of interests outside of work, but we all love technology.

Who You Are

You are passionate about the customer experience and excited about new technology. You are a true teammate and love to learn.

 You have a knowledge of baseline SE skills and in-depth knowledge in at least one specialization in either Data Center, Collaboration, Security or Route/Switch/Wireless.  You have knowledge of relevant solutions sets, product line specifications, performance criteria and applications.  You have the understanding and conversant about company, competitors, technologies, solutions, product strengths, weaknesses, opportunities and threats.  You show technical knowledge and consultative skills and ability to work effectively and contribute to the extended team. 

Our minimum requirements for this role:

 You have excellent written and verbal communication, listening, negotiation and presentation skills.  Confirmed technical knowledge and consultative skills.  4+ years-related experience preferred (less will be considered). Cisco product experience or relevant experience in key competitor offerings in technology area of emphasis required. Pre-Sales experience required.  Typically requires BS/BA (EE/CS) or equivalent. 

Why Cisco

At Cisco, each person brings their unique talents to work as a team and make a difference. Yes, our technology changes the way the world works, lives, plays and learns, but our edge comes from our people. We connect everything – people, process, data and things – and we use those connections to change our world for the better. We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices. We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities. Colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Be you, with us! #WeAreCisco

Cisco is an equal opportunity employer.",,20170.0,"['negotiation', 'presentation', 'networking']",4,Solutions Engineer,automation collaboration communication creativity interpersonal leadership negotiation networking presentation testing,VA,38.9839,-77.3675
4,Software Development,3887466954,hackajob,"hackajob transforms your job search into a personalized experience, where you're in control. We partnered with company that is experienced in delivering mission-centric digital transformations, features a team of seasoned experts proficient in four key technology realms: Network Modernization, Hybrid Cloud Solutions, Cybersecurity, and Enterprise IT Services.
Role: Cloud Integration Systems EngineerLocation: Suitland, MDWork model: ONSITE and potential for some remote work
Candidate must have an ACTIVE SECURITY CLEARANCE
Must haves:
6 to 8 years of relevant experience, with at least 3 years in government rolesBachelor's Degree in IT or a related fieldHands-on experience in migrating legacy and on-premise systems while deploying intricate cloud-based solutions, encompassing the design, execution, and refinement of core infrastructure, networking, and cloud services tailored to organizational needs.Understanding of enterprise architecture and application integration, along with proficiency in IaaS/PaaS/SaaS solutions and Agile software development methodologies.Examples of active and pertinent industry certifications include:CompTIA Cloud+AWS Certified Cloud PractitionerMicrosoft Azure Fundamentals, etc.AWS Certified Solutions ArchitectExamples of IAT II certifications include:CCNA SecurityCySA+GICSPGSECSecurity+ CECNDSSCP
The Companies:We collaborate with a diverse range of companies throughout the US actively seeking professionals skilled in these specific capabilities. Industries encompass technology, finance, healthcare, e-commerce, entertainment, and more.
These entities range from innovative startups to established corporations, all in search of adept individuals to ensure the reliability, performance, and security of their databases.
The available roles encompass compensation ranging from $110,000 to $160,000 dependent on seniority, experience, and location.
The Benefits
The roles available come with an array of benefits, including:
Opportunities for career growthProfessional development programs tailored to enhance your technical skillsInitiatives to promote work-life balanceHealth and wellness benefitsRetirement plans, along with potential stock options or equity-based rewards",,20746.0,['agile'],4,Cloud Engineer,adaptability agile ansible automation collaboration communication devops javascript leadership organization problem-solving programming scripting spring sql terraform,MD,38.8425,-76.9222
4,Software Development,3887468932,hackajob,"hackajob transforms your job search into a personalized experience, where you're in control. We partnered with company that is experienced in delivering mission-centric digital transformations, features a team of seasoned experts proficient in four key technology realms: Network Modernization, Hybrid Cloud Solutions, Cybersecurity, and Enterprise IT Services.
Role: Cloud Integration Systems EngineerLocation: Suitland, MDWork model: ONSITE and potential for some remote work
Candidate must have an ACTIVE SECURITY CLEARANCE
Must haves:
6 to 8 years of relevant experience, with at least 3 years in government rolesBachelor's Degree in IT or a related fieldHands-on experience in migrating legacy and on-premise systems while deploying intricate cloud-based solutions, encompassing the design, execution, and refinement of core infrastructure, networking, and cloud services tailored to organizational needs.Understanding of enterprise architecture and application integration, along with proficiency in IaaS/PaaS/SaaS solutions and Agile software development methodologies.Examples of active and pertinent industry certifications include:CompTIA Cloud+AWS Certified Cloud PractitionerMicrosoft Azure Fundamentals, etc.AWS Certified Solutions ArchitectExamples of IAT II certifications include:CCNA SecurityCySA+GICSPGSECSecurity+ CECNDSSCP
The Companies:We collaborate with a diverse range of companies throughout the US actively seeking professionals skilled in these specific capabilities. Industries encompass technology, finance, healthcare, e-commerce, entertainment, and more.
These entities range from innovative startups to established corporations, all in search of adept individuals to ensure the reliability, performance, and security of their databases.
The available roles encompass compensation ranging from $110,000 to $160,000 dependent on seniority, experience, and location.
The Benefits
The roles available come with an array of benefits, including:
Opportunities for career growthProfessional development programs tailored to enhance your technical skillsInitiatives to promote work-life balanceHealth and wellness benefitsRetirement plans, along with potential stock options or equity-based rewards",,20746.0,['agile'],4,Cloud Engineer,adaptability agile ansible automation collaboration communication devops javascript leadership organization problem-solving programming scripting spring sql terraform,MD,38.8425,-76.9222
4,Software Development,3887478002,magicplan,"About the roleAt magicplan, we are on a mission to revolutionize the way restoration and renovation professionals operate globally. With over 20 million downloads, magicplan is the leading mobile sketching, reporting, and estimating solution for restoration, claims, and remodelling professionals worldwide. 
As part of our continued global success, we’re looking for a Business Development Representative to join our team. This full-cycle sales role is focused on developing new business opportunities from target accounts, tradeshow prospects, and inbound leads from our website and product. You will be working to qualify the biggest opportunities for our Enterprise team while managing and closing a pipeline of your own SMB deals.
Here you have the opportunity to accelerate your career and create a true impact within your field. Work how you work best, and never stop learning!
What you'll do As a BDR, you will research and identify high-value leads, engaging with them over the phone to understand their needs and introduce our solutions. The role will involve:Developing new business over the phone. (If you don’t like calling, this role isn’t for you. Prospects in our ICP always have their phones on them, and never check their emails).Researching potential prospects within our target accounts list and ICP. (These folks aren’t on Linkedin and often aren’t in sales intelligence databases. You will be charming gatekeepers, doing lots of discovery, and taking multi-threaded approaches to land and expand Enterprise-level opportunities).Analysing and strategically following up on leads from our inbound channels. (In addition to proactively targeting leads at our target accounts, you will also be handling outbound tradeshow leads, inbound sales requests from our website, and product-qualified leads from within our app).Building strong relationships with key stakeholders within our target accounts, and working with our Enterprise team to grow our sales pipeline to meet revenue goals.Gaining experience with the full sales cycle for SMB deals, from qualification to closing.
About YouAlthough we are looking for a passionate, purpose-driven individual rather than a 100% match of the job description, there is an important skill set for this role. 1-2 years of direct sales experience.No fear of the phone - this is how we make our money.The ability to develop strong relationships with clients. Excellent communication skills in English. Fluency in other foreign languages is advantageous.Prioritization skills.Strong listening skills.A drive to ensure the best outcome for the customer. You work well as part of a small team.You should be data-driven and goal-oriented.Travel availability: presence in tradeshows every quarterOther valued skills:B2B SaaS salesWorking in a startup/scale-up environmentHubspot (for prospecting) and Apollo.io (for sales intelligence)The restoration, claims or remodelling industries.Multithreading sales, particularly at the Enterprise level
Why us?We at magicplan believe in teamwork, fun, simple solutions, and, most importantly, our people!Consistent pay with Bonus Opportunities: We offer you a competitive base salary plus bonus opportunities. Great Work-Life Balance: Juggling career, family, and social life can be challenging. magicplan supports a healthy work-life balance!
Holidays / PTO: 20 vacation days on top of federal holidays! Flat hierarchies: Short decision-making paths and direct cooperation with leadership. No micro-management, clear and transparent. Support in your Development: Learning is a lifelong pursuit; we promise to treat it like one. We offer an environment for continued education and the opportunity to learn from each other. Purpose and Responsibility: A job shouldn't just be a job! At magicplan, you have the opportunity to take on responsibility, work on exciting projects, and make an impact.
magicplan is proud to be an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Please note, this position is open only to candidates authorized to work in the named location since it does not include sponsorship or visa of any kind.
Join us at magicplan and be part of a team that's transforming the restoration and renovation industry. Apply now to start your journey!",,97201.0,"['communication', 'listening', 'decision-making']",4,Business Development Representative,adaptability automation collaboration communication cybersecurity decision-making flexibility go initiative innovation interpersonal leadership listening negotiation networking organization planning presentation problem-solving teamwork time-management,OR,45.5078,-122.6897
4,Software Development,3884497787,WaferWire Cloud Technologies,"Job Title: Software Engineer (Front End)Location: San Jose, CA (Hybrid - 3 Days onsite)
As a frontend engineer, you will work closely with designers, product managers, and other engineers (frontend, backend, quality) to revolutionize the advertising space for our client and beyond.
Job Responsibilities:new experiences for client sellers and advertisers to enhance their product promotion, advertising campaign management, and overall business operations.systems using Node.js/JavaScript and Java.updated with new external and internal technologies, embracing learning opportunities.in our internal open-source community, contributing to various projects and codebases.test, and deploy code continuously, ensuring seamless operations.within a cross-functional Agile team to deliver iterative value to customers efficiently.in technical discussions, influencing decisions on approaches and tools.by example, sharing knowledge and best practices with the team.Job Requirements:degree in Computer Science or related field with 3 years of work experience, or Master's degree with 1 year of relevant experience in Node.js, JavaScript, Java, Oracle/NoSQL databases, HTML5, and CSS3.In building web applications, particularly with frameworks like Spring MVC.understanding of core CS concepts, including common data structures and algorithms.skills in JavaScript (ES6), HTML/CSS, Freemaker template, and CSS Preprocessor are advantageous (Less or Sass).with NodeJS (Express desired), ReactJS, and Redux is a plus.in unit testing with mocks (preferably Jest or Jasmine), and automation testing is beneficial.of front-end security, performance, and accessibility.experience with Scala/Python and working with Hadoop and related tools is advantageous.in tools such as Jira and Git is required.",,95101.0,"['agile', 'spring', 'javascript', 'css', 'testing', 'automation', 'testing', 'hadoop']",4,Frontend Developer,agile automation c# collaboration communication css debugging flexibility hadoop javascript problem-solving programming spring testing writing,CA,37.3894,-121.8868
