company_name,title,top_skills
"15 Seconds of Fame, Inc.",Senior .NET Software Engineer,"c, sql, nosql, algorithms, debugging, microservices, writing"
A-Line Staffing Solutions,Software Engineer - Hybrid - No C2C,"c, aspnet, sql, leadership, javascript, angular, communication, interpersonal, agile"
A2C,Software Engineer,"java, sql, testing, agile, communication, microservices"
ADSANTEC,Software Engineer/Sr. Software Engineer,"hardware, programming, c, agile, devops"
"ALTA IT Services, LLC",Software Engineer,"agile, java, angular, communication, docker, spring"
AMH,Software Engineer III - (REMOTE),"aspnet, react, nodejs, planning, communication"
ARK InfoTech Spectrum Pvt. Ltd.,Embedded Software Engineer,"c, java, communication, programming, testing, debugging"
ASSA ABLOY Group,Software Engineer,"php, react, css, communication, teamwork, problemsolving, leadership"
AT&T,Principal Software Engineer,"spring, agile, automation, kubernetes, devops, java, javascript, testing, programming, kafka"
AT&T,Professional Software Engineer,"react, agile, express, javascript"
AT&T,Professional- Big Data Software Engineer,"hadoop, spark, planning"
AT&T,Professional-Software Engineer,"programming, cybersecurity, agile, scripting, testing, collaboration"
AT&T,Senior Software Engineer,"programming, testing, cybersecurity, agile, collaboration"
AVI Foodsystems,Senior Software Engineer - Web,"testing, communication, javascript, innovation, angular, css, sql, tensorflow, teamwork"
Abnormal Security,Sr. Backend Software Engineer - ML Infra,
Ace Hardware Corporation,Mobile Software Engineer Manager (Hybrid),"hardware, swift, java, communication, collaboration, sql, organization"
Acenda,Ecommerce Senior PHP (Laravel) Software Engineer,"communication, leadership, laravel, agile"
Acres,Frontend Software Engineer II,"organization, javascript, agile, testing"
Actalent,Embedded Software Engineer,"writing, testing, innovation, programming, devops"
Actalent,Embedded Software Engineer (Middleware),"networking, debugging, rust, hardware, c, innovation"
Actalent,Senior Embedded Software Engineer,"c, agile, innovation"
Actalent,Software Engineer,"c, communication, innovation, testing, programming, python, hardware, organization, debugging, interpersonal"
Actalent,Software Engineer - Ada,"testing, networking, innovation"
Actalent,Software Engineer III,"java, innovation"
Adept,"Software Engineer, Full Stack - Agents","javascript, react, communication, empathy"
Adept,"Software Engineer, Full Stack - Product","typescript, react, communication, collaboration"
Aditi Consulting,Senior Java Software Engineer,"spring, java, typescript, agile, docker, sql"
Adobe,2024 Intern - Software Engineer,"problemsolving, python, communication"
Adobe,Senior Software Engineer,"spark, leadership, problemsolving, programming, kafka, communication"
Adobe,"Senior Software Engineer, Applied AI/ML, Audio/Video",programming
Adobe,"Senior Software Engineer, Web Audio Products & Services","programming, typescript"
Adobe,"Senior Software Engineer, Web Video/Audio Products & Services","programming, typescript"
Advantis Global is becoming INSPYR Solutions,Infrastructure Software Engineer,
Adyen,Senior Software Engineer - Data Connect,"python, sql"
Affirm,"Software Engineer II, Backend (Disclosures)","flexibility, leadership, go, kubernetes, communication, collaboration, initiative"
Affirm,"Software Engineer II, Frontend (T&S Experience)","flexibility, planning, initiative"
AgileEngine,Senior/Lead Data Software Engineer,"devops, programming, sql, nosql, containerization, problemsolving, communication"
Agility,Senior Software Engineer,"innovation, agile, collaboration, go, writing, sql, docker"
Agilysys,Software Engineer (On-Site),"agile, java, spring, communication, programming, scripting, docker, kubernetes, testing, nosql"
AgreeYa Solutions,Qlik Sense Software Engineer (Data),"sql, communication, automation, writing"
Airbnb,Senior Software Engineer Insurance Platform,"testing, innovation, react, leadership, javascript"
Airbnb,"Senior Software Engineer, Android Platform",innovation
Airswift,Oracle IT Programmer/Software Engineer III,debugging
Akamai Technologies,Senior Software Engineer II (Linux Performance) - Remote,"innovation, programming, virtualization, flexibility"
Akkodis,Senior Software Engineer,"programming, go, flexibility, java, css"
Akkodis,Senior Software Engineer (.NET) - 100% Remote - Contract (W2),"communication, vue, programming, debugging, devops, problemsolving, go, flexibility"
Akkodis,Software Engineer,"spark, kafka, kubernetes, networking, programming, automation, scripting, python, flexibility, communication"
Alarm.com,Senior Embedded Software Engineer,"hardware, networking, agile, debugging"
Alarm.com,Senior Software Engineer (Site Reliability Engineer),"hardware, programming, communication, sql, planning, devops"
Alchemy,Software Engineer,"blockchain, java, typescript, python"
Alcon,Medical Device Sr. Principal Software Engineer - LCM,"go, leadership, hardware, networking, cybersecurity, testing, interpersonal, communication, problemsolving, presentation"
Allstate,"Lead Java Software Engineer, Remote","spring, java, testing, agile, planning, leadership, programming, writing, nosql, devops"
Allstate,Software Engineer Expert (Java/Spring Boot),"programming, java, spring, planning, collaboration, writing, microservices, react, testing, agile"
Alphatec Spine,"Software Engineer I, AIX","c, communication, testing, programming, presentation, sql, devops, agile, scripting, java"
Altera,Senior Software Engineer - Infrastructure,"communication, leadership, agile"
Amazon,"Software Engineer, Translation Services",programming
Amazon Web Services (AWS),"Senior Software Engineer, AWS Kumo","innovation, collaboration, programming, creativity"
AmberBox Gunshot Detection,Senior Software Engineer / Manager - Full Stack/Embedded (Fully Remote),"planning, agile, hardware"
"American Farm Bureau Insurance Services, Inc. - AFBIS, Inc.",Senior Software Engineer,"devops, collaboration, automation, innovation, programming, problemsolving, communication"
"American Public Education, Inc. (APEI)","Lead Software Engineer, Application Administrator, SIS","automation, problemsolving, communication"
"American Public Education, Inc. (APEI)","Lead Software Engineer, Application Support","automation, communication, flexibility, decisionmaking"
"American Public Education, Inc. (APEI)","Sr. Software Engineer, Application Administrator, Salesforce","sql, testing, writing"
"American Public Education, Inc. (APEI)","Sr. Software Engineer, Application Support","automation, communication, flexibility, decisionmaking"
AmericanAg,Senior Software Engineer,"devops, collaboration, automation, innovation, programming, problemsolving, communication"
AmericanAg,Software Engineer,"organization, testing, writing, programming, problemsolving, communication"
"Amply Energy, Inc.",Mobile Software Engineer (iOS),
Ampstek,Embedded Software Engineer,"programming, c"
Ampstek,Embedded Software Engineer (Semiconductor Domain),"programming, c"
Anblicks,Lead Software Engineer,"java, react, spring, microservices, angular, problemsolving, communication, leadership, agile"
Anduril Industries,Mission Software Engineer - Fury / CCA (C++/Rust),"planning, networking, debugging, c, rust, testing, communication, initiative"
Anduril Industries,Mission Software Engineer - Fury / CCA (Generalist),"planning, networking, debugging, programming, testing, communication, initiative"
Anduril Industries,Senior Mission Software Engineer - Fury / CCA (Generalist),"planning, networking, debugging, programming, testing, communication, initiative"
Annapurna,Software Engineer in Test,"automation, testing, problemsolving, flexibility, collaboration"
Anomalo,Senior Full Stack Software Engineer,"python, planning, go, debugging, django, flexibility"
ApTask,Embedded Software Engineer,
Apex Systems,Cyber Security Software Engineer,"java, leadership, containerization"
Apex Systems,Senior Software Engineer,"spring, testing, debugging, problemsolving, communication, react, agile, microservices, java, angular"
Apex Systems,Software Engineer,"react, programming, organization, c, java, agile, testing"
Apex Systems,Software Engineer ,"programming, angular, java, spring, kotlin, sql"
Apothecarie,Software Engineer,programming
Appzlogic ,Software Engineer - Workday Integrations,"interpersonal, communication, agile, organization"
Appzlogic ,Software Engineer in Test,"automation, java, communication"
Aquent,Software Engineer,"automation, problemsolving, communication, containerization, docker"
Arcus,"Senior Software Engineer, Machine Learning","algorithms, docker, initiative"
Argus Labs,Software Engineer,"programming, testing, problemsolving, blockchain"
Arkhya Tech. Inc.,Staff Software Engineer,"spring, spark, leadership, java, sql, jenkins, nosql, testing, automation, agile"
Arrow Search Partners,Senior Software Engineer,"agile, devops, sql"
Arrow Search Partners,Software Engineer,"sql, c, docker"
Artisan AI (YC W24),AI Software Engineer,"python, leadership"
Ascendion,Software Engineer,"automation, devops, creativity"
Ascendum Solutions,Software Engineer,"debugging, scripting, sql, programming, writing"
Ask IT Consulting Inc.,Software Engineer with Vue JS.,"c, vue"
Aspire Software,Senior Software Engineer in Test II (Aspire),"testing, automation, writing, planning, c, typescript, leadership"
Atlas,Software Engineer,"testing, php, javascript, programming, c, empathy"
Aurora,Senior Staff Software Engineer - Autonomy Data: MP Data Engine,"planning, automation, c"
Austin Fraser,Principal Software Engineer - .NET/Azure (Hybrid)  $175K+,microservices
Austin Fraser,Software Engineer (E-Commerce ~ Javascript) ATX / Onsite / $65k,javascript
AuxHealth,Senior Software Engineer (Backend + Infra),"python, sql, flexibility"
"AvidXchange, Inc.",Software Engineer I,"agile, automation, communication, debugging, sql, flexibility"
Awardco,Senior Back-End Software Engineer (Machine Learning Emphasis),"writing, programming"
Axon,Senior Application Software Engineer (Remote),"problemsolving, collaboration, c, writing, javascript"
Axon,"Senior Software Engineer, New Product Development (Remote)","empathy, planning, sql, nosql, programming"
"BAE Systems, Inc.",Principal Software Engineer (On-Site),"testing, hardware, c, scripting, python, communication, interpersonal, problemsolving, agile, leadership"
BAI,DevOps Software Engineer,"devops, programming, testing, sql, c, javascript, scripting, teamwork"
BCforward,Software Engineer V,"programming, python, hardware, collaboration, communication, c"
BSL Consulting,Python Developer / Software Engineer,"kafka, python, sql, communication, perl, javascript, problemsolving, agile"
Barrett-Jackson Auction Company,Senior Software Engineer .NET Full Stack,"sql, communication, collaboration, aspnet, java, devops, programming, problemsolving, interpersonal"
Barrington James,Senior Software Engineer,"communication, leadership, agile"
Baxter International Inc.,"Sr. Software Engineer, Integrations (BI) - Hybrid,","organization, teamwork, debugging, automation, interpersonal, communication, devops, scripting, flexibility"
Beacon Hill Staffing Group,Java Software Engineer,"java, spring, kafka, agile, nosql, programming, microservices, html, leadership, collaboration"
Benchling,"Software Engineer, Infrastructure (Release Engineering)","organization, planning, automation, devops, terraform, kubernetes, microservices, testing, communication"
Berkley Environmental (a Berkley Company),Sr. Software Engineer,"sql, testing, agile, devops, python"
Bertram Capital,Senior Software Engineer,"java, problemsolving, communication"
BetterHelp,Full Stack Software Engineer,"php, bootstrap, sql, go, react, css, javascript, agile, teamwork, hardware"
BigRio,Principal Software Engineer,"angular, leadership, sql, testing, innovation, agile, planning, javascript, css, bootstrap"
BioSpace,"Senior Software Engineer, Applications - HYBRID","collaboration, planning, leadership, testing, typescript, angular, nosql"
BioSpace,"Senior Software Engineer, Test #3748","testing, automation, writing, debugging, python, agile, listening, communication"
BitGo,Senior Software Engineer - Ethereum and Altcoins,"blockchain, testing, microservices, react, docker"
Blackhawk Network,Software Engineer (Hybrid),"java, javascript, programming, debugging, testing, jenkins"
Blackhawk Network,Software Engineer II (Hybrid),"java, javascript, programming, spring, debugging, testing, jenkins, problemsolving, communication"
Block,"Senior Software Engineer (Mobile), Bitkey","kotlin, rust, swift, blockchain, go"
Block,"Senior Software Engineer (iOS), Bitkey","kotlin, rust, swift, blockchain, go"
Block,"Senior Software Engineer, Cash Commerce","initiative, collaboration, problemsolving, communication, blockchain, go"
Block,"Staff Software Engineer (Mobile), Bitkey","kotlin, testing, automation, rust, blockchain, go"
Bloomberg,Senior Software Engineer - Artificial Intelligence Group,"pytorch, machinelearning, leadership, programming, algorithms"
Blue Origin,"Flight Software Engineer III, Displays & Control - Space Systems Development","leadership, debugging"
Blue Origin,Principal Embedded Software Engineer,"testing, leadership, communication, hardware"
Blue Origin,Senior Flight Software Engineer - Space Systems Development,"leadership, testing, communication, agile"
Blue Origin,"Sr. Flight Software Engineer, Autonomous & Intelligent System Management - Space Systems Development","leadership, communication, planning, algorithms"
"Bluebeam, Inc.",Lead Software Engineer,"containerization, communication, collaboration"
Blueworks Technologies,Senior Software Engineer,"spring, leadership, devops, innovation, testing, microservices, communication, interpersonal, agile"
Boeing,"Embedded Software Engineer (Associate, Experienced Or Lead)","hardware, programming, agile, communication, testing"
Boeing,Modeling and Simulation Software Engineer (Associate or Experienced),"agile, testing, algorithms"
Boeing,Onboard Performance Tool (OPT) Software Engineer (Experienced/Senior/Lead),"c, leadership, testing, sql, agile"
Boeing,Senior Systems Engineering Manager | SE,"collaboration, leadership, testing"
Boomi,Senior Software Engineer,
Booz Allen Hamilton,"Software Engineer, Senior","agile, testing, microservices, programming, php, sql, scripting, automation, leadership, flexibility"
Box,"Staff Software Engineer, Database Infrastructure",collaboration
Bracco Medical Technologies,Senior Software Engineer,"organization, testing, c, css, jenkins, devops, problemsolving, leadership, react, angular"
Bravens Inc.,Java Software Engineer,"spring, spark, leadership, java, sql, jenkins, nosql, testing, automation, agile"
Braze,"Software Engineer II, Chat","resilience, communication, agile"
BrickRed Systems,Software Engineer -Gaming,"innovation, java, programming"
BrickRed Systems,Software Engineer in Test,"hardware, automation, testing, innovation, rust, devops, writing, programming"
BridgeCare,Senior Software Engineer,"ruby, javascript, algorithms"
Broadcom,Software Engineer,"virtualization, leadership, networking, innovation, java, collaboration, nosql, flexibility, spring, communication"
Brooksource,Java Software Engineer,"java, organization, react, communication, leadership, debugging, agile"
Brooksource,Senior Software Engineer,"cybersecurity, testing, hardware, bash, networking, leadership"
Brooksource,Software Engineer,"innovation, flexibility"
Bruker Daltonics,Staff Software Engineer IV,"programming, c, innovation, hardware, collaboration, problemsolving, agile"
ByteDance,"Full Stack Software Engineer Intern, Developer Infrastructure- Offcycle","creativity, sql, nosql, testing, javascript, django, writing, problemsolving"
ByteDance,Senior Backend Software Engineer - Global E-Commerce Supply Chain Billing & Settlement,"creativity, programming"
ByteDance,Sr. Linux Kernel Software Engineer - Seattle,"creativity, hardware, debugging, virtualization"
CACI International Inc,Senior Java Software Engineer,"java, flexibility"
CACI International Inc,Software Engineer,flexibility
CDK Global,Sr Software Engineer,problemsolving
CDW,Software Engineer,
CDW,"Software Engineer II, Data",algorithms
CITGO,Java Software Engineer,"java, microservices, spring, programming, problemsolving, communication, collaboration"
CNA Search,Java Software Engineer,"javascript, programming, testing, writing, java"
CNA Search,Senior Software Engineer,"sql, javascript, php, aspnet, testing, angular, c, agile, writing, punctuality"
CNA Search,Software Engineer,"sql, aspnet, testing, communication, c"
COGENT Infotech,Software Engineer,"hardware, testing, collaboration, programming, problemsolving, debugging, communication, java"
CSG Talent,Lead/Principal Software Engineer,"collaboration, innovation, automation, communication, agile"
CSS Tec,Angular Software Engineer,"angular, python, nosql"
Cadence Design Systems,Software Engineer II,
Calance,Sr. Cloud Software Engineer (GOLANG),"microservices, algorithms, programming"
Cambridge Mobile Telematics,"Principal Software Engineer, Automation","automation, python, containerization, agile, programming"
Campbell,Software Engineer,"testing, programming, sql, interpersonal, communication"
Canoo,New Grad Back-End Software Engineer,"communication, nosql, python, docker, kubernetes, terraform, jenkins"
Capella University,Software Engineer Intern,"motivation, writing, debugging, programming, automation, organization, communication"
Capillary Technologies,Senior Software Engineer (NodeJS +.Net),"nodejs, communication, leadership, express, sql, docker, c, debugging"
