industry_name,job_id,title,skills
Software Development,3884432470,Windows Software Engineer,"['c#', 'c#', 'communication']"
IT Services and IT Consulting,3800272386,Data Science Software Engineer,"['innovation', 'collaboration', 'agile', 'communication', 'microservices', 'algorithms', 'sql', 'programming']"
"Technology, Information and Media",3887472904,Software Engineer -(Development of cloud-based services & Apps)-W2 Contract,"['writing', 'writing', 'problem-solving']"
IT Services and IT Consulting,3827945924,Software Engineer,"['communication', 'sql', 'initiative', 'c#']"
IT Services and IT Consulting,3884915616,Senior Software Engineer - Full Stack,"['communication', 'problem-solving', 'networking']"
Software Development,3887475434,Principal Software Engineer (Python),[]
Financial Services,3884924051,Software Engineering Advisor (Python/Java/AWS),"['flexibility', 'planning', 'automation', 'communication', 'presentation', 'problem-solving', 'organization', 'networking']"
Financial Services,3884919744,Senior Software Engineer - Angular,"['agile', 'programming', 'communication', 'testing', 'testing', 'problem-solving', 'organization', 'react', 'nosql', 'agile']"
Banking,3884919744,Senior Software Engineer - Angular,"['agile', 'programming', 'communication', 'testing', 'testing', 'problem-solving', 'organization', 'react', 'nosql', 'agile']"
Medical Equipment Manufacturing,3884437436,Senior Software Engineer,"['organization', 'testing', 'organization', 'c++', 'css', 'jenkins', 'devops', 'problem-solving', 'leadership', 'react', 'angular', 'automation', 'sql', 'microservices']"
Software Development,3884440937,Senior Software Engineer Insurance Platform,"['leadership', 'innovation', 'react', 'javascript', 'testing', 'react', 'testing', 'testing', 'innovation']"
Banking,3884444422,Sr. Software Engineer/API Developer,"['agile', 'testing', 'agile', 'agile', 'agile']"
Higher Education,3887497535,Associate Software Engineer/Software Engineer-AITS,"['leadership', 'testing', 'sql', 'testing', 'sql', 'html', 'scripting', 'writing', 'java', 'java', 'interpersonal', 'sql', 'interpersonal']"
Financial Services,3884925055,Senior Software Engineer - Wordpress,"['agile', 'programming', 'communication', 'testing', 'testing', 'problem-solving', 'organization', 'react', 'nosql', 'agile']"
Banking,3884925055,Senior Software Engineer - Wordpress,"['agile', 'programming', 'communication', 'testing', 'testing', 'problem-solving', 'organization', 'react', 'nosql', 'agile']"
"Technology, Information and Media",3887716431,Senior Staff Software Engineer,"['automation', 'python', 'testing', 'python', 'django', 'nosql', 'problem-solving', 'communication']"
Software Development,3884439345,"Software Engineer for global computer software company in Redmond, WA.","['automation', 'automation', 'automation', 'automation', 'automation', 'problem-solving', 'communication', 'containerization', 'docker', 'devops']"
Financial Services,3884805078,Senior Software Engineer,"['microservices', 'java', 'spring', 'microservices', 'spring', 'communication', 'java', 'spring']"
Software Development,3884805078,Senior Software Engineer,"['microservices', 'java', 'spring', 'microservices', 'spring', 'communication', 'java', 'spring']"
Software Development,3884996017,"Software Engineer, Translation Services","['programming', 'programming']"
Financial Services,3885806697,"Senior Lead Software Engineer, Full Stack","['programming', 'nosql', 'docker', 'go', 'agile']"
IT Services and IT Consulting,3884437640,Software Engineer,"['automation', 'automation', 'automation', 'devops', 'creativity']"
Entertainment Providers,3884436924,Senior Software Engineer,"['devops', 'automation', 'javascript', 'agile']"
Broadcast Media Production and Distribution,3884436924,Senior Software Engineer,"['devops', 'automation', 'javascript', 'agile']"
"Technology, Information and Media",3884436924,Senior Software Engineer,"['devops', 'automation', 'javascript', 'agile']"
Hospitals and Health Care,3884804043,Sr. Software Engineer - (Full Stack),"['testing', 'nosql', 'java', 'react']"
Engineering Services,3884437721,Display Software Engineer (16939),"['hardware', 'programming', 'python', 'hardware', 'communication', 'hardware', 'debugging']"
Financial Services,3885807498,"Senior Software Engineer, Back End (GoLang)","['kafka', 'agile', 'programming', 'nosql', 'docker', 'node.js', 'agile']"
Financial Services,3885805688,"Lead Software Engineer, Full Stack","['programming', 'nosql', 'docker', 'go', 'agile']"
Financial Services,3885807502,"Lead Software Engineer, Full Stack","['programming', 'nosql', 'docker', 'go', 'agile']"
Financial Services,3885808496,"Lead Software Engineer, Back End","['programming', 'nosql', 'docker', 'node.js', 'agile']"
Financial Services,3885809468,"Senior Lead Software Engineer, Full Stack (Remote -Eligible)","['leadership', 'programming', 'nosql', 'docker', 'sql', 'python', 'agile', 'communication']"
Financial Services,3885809473,"Senior Manager, Software Engineering , Back End","['programming', 'nosql', 'docker', 'node.js', 'agile']"
Financial Services,3885806690,"Senior Manager, Software Engineering , Back End","['programming', 'nosql', 'docker', 'node.js', 'agile']"
Financial Services,3885807496,"Senior Lead Software Engineer, Full Stack (Remote -Eligible)","['leadership', 'programming', 'nosql', 'docker', 'sql', 'python', 'agile', 'communication']"
Automation Machinery Manufacturing,3887704152,Software Engineer,"['python', 'automation', 'programming', 'sql', 'sql', 'automation']"
Financial Services,3885808501,"Senior Manager, Software Engineering , Back End","['programming', 'nosql', 'docker', 'node.js', 'agile']"
